,,,
Plant Name,State,Latitude,Longitude
City Power Plant,ID,43.491398,-112.045410
Lower No 2,ID,43.468398,-112.062602
Upper Power Plant,ID,43.552695,-112.050953
Combie South,CA,39.009600,-121.059100
Palisades Dam,ID,43.334849,-111.205752
Albeni Falls,ID,48.180245,-116.998590
Coffeen,IL,39.058600,-89.403100
Grand Tower Energy Center LLC,IL,37.657700,-89.511161
Bloom,IL,42.057222,-87.869444
Calumet,IL,41.713611,-87.542778
Crawford,IL,41.828480,-87.722910
Dresden Generating Station,IL,41.390000,-88.270000
Electric Junction,IL,41.833300,-88.083300
Joliet 9,IL,41.493100,-88.115300
Kincaid Generation LLC,IL,39.590556,-89.496389
Lombard,IL,41.890000,-88.061667
Powerton,IL,40.540800,-89.678600
Quad Cities Generating Station,IL,41.726111,-90.310278
Sabrooke,IL,42.216944,-89.052222
Waukegan,IL,42.383300,-87.813300
Will County,IL,41.633400,-88.062900
Fisk Street,IL,41.850800,-87.653300
Baldwin Energy Complex,IL,38.205000,-89.854400
Havana,IL,40.279700,-90.080000
Hennepin Power Station,IL,41.302800,-89.315000
Oglesby,IL,41.289700,-89.072500
Stallings,IL,38.731400,-90.046100
Vermilion,IL,40.178100,-87.748100
Wood River,IL,38.863900,-90.134700
Moline,IL,41.509959,-90.534021
Bottle Rock Power,CA,38.834800,-122.767700
Rockton,IL,42.451100,-89.075600
Alamo,CA,34.815800,-118.686700
Venice,IL,38.664200,-90.176400
Quincy Chute,WA,46.982514,-119.257764
Hydro Plant No 3,UT,39.205623,-111.334381
Breese,IL,38.607456,-89.524514
Bushnell,IL,40.548586,-90.513814
Carlyle,IL,38.610600,-89.358300
Carmi,IL,38.096700,-88.163100
Farmer City,IL,40.246110,-88.638761
Freeburg,IL,38.425556,-89.914444
Geneseo,IL,41.451494,-90.148547
Highland,IL,38.741200,-89.684900
McLeansboro,IL,38.094683,-88.541331
Marshall (IL),IL,39.392138,-87.685130
City of Peru Plank Road Generating Station,IL,41.353293,-89.139094
C H Corn Hydroelectric Facility,FL,30.388517,-84.646624
Princeton (IL),IL,41.375528,-89.464872
Rantoul,IL,40.312222,-88.159444
Red Bud,IL,38.216500,-89.999200
North Ninth Street,IL,41.909300,-89.049800
South Main Street,IL,41.909200,-89.050400
Dallman,IL,39.754803,-89.602389
Lakeside,IL,39.757327,-89.600512
Reynolds,IL,39.806868,-89.641653
Sullivan (IL),IL,39.596667,-88.611944
Waterloo,IL,38.334786,-90.158939
Winnetka,IL,42.115589,-87.731025
Marion,IL,37.619747,-88.953114
Clifty Creek,IN,38.737800,-85.420600
Elkhart,IN,41.692800,-85.965000
Last Chance,ID,42.603349,-111.705304
Tanners Creek,IN,39.081400,-84.859400
Twin Branch,IN,41.665000,-86.132200
Harding Street,IN,39.711319,-86.196867
Eagle Valley (IN),IN,39.485170,-86.418300
CC Perry K,IN,39.763100,-86.166700
AES Petersburg,IN,38.528100,-87.252500
Bailly,IN,41.645000,-87.122500
Dean H Mitchell,IN,41.639200,-87.406900
Michigan City,IN,41.720800,-86.908600
Norway (IN),IN,40.780300,-86.760000
Oakdale,IN,40.656400,-86.752800
Cayuga,IN,39.924200,-87.424400
Connersville,IN,39.656100,-85.175800
Edwardsport,IN,38.806700,-87.247200
Markland,IN,38.779500,-84.964000
Miami Wabash,IN,40.788400,-85.817800
Noblesville,IN,40.096900,-85.971400
R Gallagher,IN,38.263600,-85.838100
Wabash River,IN,39.530000,-87.424700
Broadway (IN),IN,37.969116,-87.604879
F B Culley,IN,37.911100,-87.327500
